"X.U.FEFF.ID","Authors","Title","Year"
"F000S083","G Carmona-Antoñanzas, ...","An evolutionary perspective on Elovl5 fatty acid elongase: comparison of Northern pike and duplicated paralogs from Atlantic salmon",2013
"F000S084","R Zhou, X Shi, Y Gao, N Cai, Z Jiang, ...","Anti-inflammatory activity of guluronate oligosaccharides obtained by oxidative degradation from alginate in lipopolysaccharide-activated murine macrophage RAW …",2015
"F000S085","RB Mulaudzi, AR Ndhlala, MG Kulkarni, ...","Anti-inflammatory and mutagenic evaluation of medicinal plants used by Venda people against venereal and related diseases",2013
"F000S086","K Majumder, Y Mine, J Wu","The potential of food protein-derived anti-inflammatory peptides against various chronic inflammatory diseases",2016
"F000S087","JC Fernandez-Garcia, F Cardona, ...","Inflammation, oxidative stress and metabolic syndrome: dietary modulation",2013
"F000S088","C Julia, N Meunier, M Touvier, N Ahluwalia, ...","Dietary patterns and risk of elevated C-reactive protein concentrations 12 years later",2013
"F000S089","G Vitaliti, P Pavone, F Guglielmo, G Spataro, ...","The immunomodulatory effect of probiotics beyond atopy: an update",2014
"F000S090","R Valdagni, V Vavassori, T Rancati, G Fellin, ...","Increasing the risk of late rectal bleeding after high-dose radiotherapy for prostate cancer: the case of previous abdominal surgery. Results from a prospective …",2012
"F000S091","A Marino, I Paterniti, M Cordaro, R Morabito, ...","Role of natural antioxidants and potential use of bergamot in treating rheumatoid arthritis",2015
"F000S092","L Neufcourt, KE Assmann, LK Fezeu, ...","Prospective association between the dietary inflammatory index and cardiovascular diseases in the SUpplémentation en VItamines et Minéraux AntioXydants (SU. VI …",2016
"F000S093","RP Hobbs, PS Bernstein","Nutrient supplementation for age-related macular degeneration, cataract, and dry eye",2014
"F000S094","J Corley, JAM Kyle, JM Starr, G McNeill, ...","Dietary factors and biomarkers of systemic inflammation in older people: the Lothian Birth Cohort 1936",2015
"F000S095","PC Calder","Very long-chain n-3 fatty acids and human health: fact, fiction and the future",2018
"F000S096","CE Childs, T Romijn, U Enke, S Hoile, ...","Maternal diet during pregnancy has tissue-specific effects upon fetal fatty acid composition and alters fetal immune parameters",2010
"F000S097","DR Dawson III, G Branch-Mays, ...","Dietary modulation of the inflammatory cascade",2014
"F000S098","C Julia, M Touvier, N Meunier, I Papet, ...","Intakes of PUFAs were inversely associated with plasma C-reactive protein 12 years later in a middle-aged population with vitamin E intake as an effect modifier",2013
"F000S100","E Sommella, G Pepe, F Pagano, GC Tenore, ...","UHPLC profiling and effects on LPS-stimulated J774A. 1 macrophages of flavonoids from bergamot (Citrus bergamia) juice, an underestimated waste product …",2014
"F000S101","O Tabatabaei-Malazy, S Nikfar, ...","Influence of ascorbic acid supplementation on type 2 diabetes mellitus in observational and randomized controlled trials; a systematic review with meta-analysis",2015
"F000S102","FM Sohet, NM Delzenne","Is there a place for coenzyme Q in the management of metabolic disorders associated with obesity?",2012
"F000S103","Y Kobayashi, P Rupa, J Kovacs-Nolan, ...","Oral administration of hen egg white ovotransferrin attenuates the development of colitis induced by dextran sodium sulfate in mice",2015
"F000S104","L Martinez-Rubio, Ø Evensen, ...","Effects of functional feeds on the lipid composition, transcriptomic responses and pathology in heart of Atlantic salmon (Salmo salar L.) before and after …",2014
"F000S105","M Singh, AA Hamid, AK Maurya, O Prakash, ...","Synthesis of diosgenin analogues as potential anti-inflammatory agents",2014
"F000S106","BV Nemzer, LC Rodriguez, L Hammond, ...","Acute reduction of serum 8-iso-PGF2-alpha and advanced oxidation protein products in vivo by a polyphenol-rich beverage; a pilot clinical study with …",2011
"F000S108","J Lademann, A Patzelt, S Schanzer, H Richter, ...","Non-invasive analysis of penetration and storage of isoconazole nitrate in the stratum corneum and the hair follicles",2012
"F000S109","JM Bennett, BL Gillie, ME Lindgren, ...","Inflammation through a psychoneuroimmunological lens",2013
"F000S110","S Umar, NK Mishra, K Pal, M Sajad, MM Ansari, ...","Protective effect of rutin in attenuation of collagen-induced arthritis in Wistar rat by inhibiting inflammation and oxidative stress",2012
"F000S111","J Sabaté, M Wien","Nuts, blood lipids and cardiovascular disease",2010
"F000S112","L Ediz, H Ozkol, I Tekeoglu, Y Tuluce, E Gulcu, ...","Increased oxidative stress in patients with familial Mediterranean fever during attack period",2011
"F000S113","V Thamilselvan, M Menon, S Thamilselvan","Oxalate at physiological urine concentrations induces oxidative injury in renal epithelial cells: effect of a-tocopherol and ascorbic acid",2014
"F000S114","KM Crowe, E Murray","Deconstructing a fruit serving: comparing the antioxidant density of select whole fruit and 100% fruit juices",2013
"F000S115","E Bony, F Boudard, P Brat, E Dussossoy, K Portet, ...","Awara (Astrocaryum vulgare M.) pulp oil: Chemical characterization, and anti-inflammatory properties in a mice model of endotoxic shock and a rat model of …",2012
"F000S116","KM Shea, M Cushman, SL Booth, ...","Associations between vitamin K status and haemostatic and inflammatory biomarkers in community-dwelling adults",2014
"F000S117","R Valenzuela, G Tapia, M González, ...","Ácidos grasos omega-3 (EPA y DHA) y su aplicación en diversas situaciones clínicas",2011
"F000S118","M Jamalan, M Rezazadeh, M Zeinali, ...","Effect of ascorbic acid and alpha-tocopherol supplementations on serum leptin, tumor necrosis factor alpha, and serum amyloid A levels in individuals with …",2015
"F000S119","A Sekikawa, MF Doyle, LH Kuller","Recent findings of long-chain n-3 polyunsaturated fatty acids (LCn-3 PUFAs) on atherosclerosis and coronary heart disease (CHD) contrasting studies in …",2015
"F000S120","N Lin, J Shi, YM Li, XY Zhang, ...","What is the impact of n-3 PUFAs on inflammation markers in type 2 diabetic mellitus populations?: a systematic review and meta-analysis of randomized …",2016
"F000S121","F Danesi, L Ferguson","Could pomegranate juice help in the control of inflammatory diseases?",2017
"F000S122","I Peluso, G Adorno, A Raguzzini, L Urban, ...","A new flow cytometry method to measure oxidative status: the Peroxidation of Leukocytes Index Ratio (PLIR)",2013
"F000S123","P Larmo","The health effects of sea buckthorn berries and oil",2011
"F000S124","S Sharma, SK Chattopadhyay, M Singh, ...","Novel chemical constituents with anti-inflammatory activity from the leaves of Sesbania aculeata",2014
"F000S125","B García-Bailo, K Roke, ...","Association between circulating ascorbic acid, a-tocopherol, 25-hydroxyvitamin D, and plasma cytokine concentrations in young adults: a cross-sectional …",2012
"F000S126","FH Nielsen","Magnesium deficiency and increased inflammation: current perspectives",2018
"F000S127","C Julia, KE Assmann, N Shivappa, JR Hebert, ...","Long-term associations between inflammatory dietary scores in relation to long-term C-reactive protein status measured 12 years later: findings from the …",2017
"F000S128","S Park, DS Kim, S Kang","Exercise training attenuates cerebral ischemic hyperglycemia by improving hepatic insulin signaling and ß-cell survival",2013
"F000S129","F Gutierrez-Orozco, J Thomas-Ahner, J Galley, ...","Intestinal microbial dysbiosis and colonic epithelial cell hyperproliferation by dietary a-mangostin is independent of mouse strain",2015
"F000S130","K Grimshaw, K Logan, S O'donovan, M Kiely, ...","Modifying the infant's diet to prevent food allergy",2017
"F000S131","AM Prentice, L van der Merwe","Impact of fatty acid status on immune function of children in low-income countries",2011
"F000S132","A Ellis, K Crowe, J Lawrence","Obesity-related inflammation: implications for older adults",2013
"F000S133","PS Suchdev, MJ Boivin, BW Forsyth, ...","Assessment of neurodevelopment, nutrition, and inflammation from fetal life to adolescence in low-resource settings",2017
"F000S134","E Bony, F Boudard, E Dussossoy, K Portet, ...","Chemical Composition and Anti-inflammatory Properties of the Unsaponifiable Fraction from Awara (Astrocaryum vulgare M.) Pulp Oil in Activated J774 …",2012
"F000S135","DC Morais, ÉA Moraes, MIS Dantas, ...","Heat treatment and thirty-day storage period do not affect the stability of omega-3 fatty acid in brown flaxseed (Linum usitatissimum) whole flour",2011
"F000S136","KV Barros, PO Carvalho, AP Cassulino, I Andrade, ...","Fatty acids in plasma, white and red blood cells, and tissues after oral or intravenous administration of fish oil in rats",2013
"F000S137","G Hädrich, GR Vaz, M Maidana, JM Kratz, ...","Anti-inflammatory effect and toxicology analysis of oral delivery quercetin nanosized emulsion in rats",2016
"F000S138","N Rosenberg, CG Park, K Eldeirawi","Relationship of serum carotenoid concentrations with allostatic load as a measure of chronic stress among middle-aged adults in the USA",2015
"F000S139","HK Chung, OY Kim, H Lee, HJ Do, YS Kim, ...","Relationship between dietary folate intake and plasma monocyte chemoattractant protein-1 and interleukin-8 in heart failure patients",2011
"F000S140","E Fondell, O Bälter, KJ Rothman, ...","Dietary intake and supplement use of vitamins C and E and upper respiratory tract infection",2011
"F000S141","A Arouca, N Michels, LA Moreno, ...","Associations between a Mediterranean diet pattern and inflammatory biomarkers in European adolescents",2018
"F000S142","AB Lagha, D Grenier","Tea polyphenols inhibit the activation of NF-<U+03BA>B and the secretion of cytokines and matrix metalloproteinases by macrophages stimulated with Fusobacterium …",2016
"F000S143","R Dias, R Perez-Gregorio, N Mateus, V De Freitas","The interaction between tannins and gliadin derived peptides in a celiac disease perspective",2015
"F000S144","LR Ferguson","Nutritional modulation of gene expression: might this be of benefit to individuals with Crohn's disease?",2015
"F000S145","J Guan, Q Zhang, R Rong, F Han, H Zhu, Y Zhao, ...","Metabolic profile of 2-(2-hydroxypropanamido) benzoic acid in rats by ultra high performance liquid chromatography combined with Fourier transform ion …",2015
"F000S146","N Mikirova, A Rogers, J Casciari, P Taylor","Effect of high dose intravenous ascorbic acid on the level of inflammation in patients with rheumatoid arthritis",2012
"F000S147","D Martini, B Biasini, S Rossi, I Zavaroni, ...","Claimed effects, outcome variables and methods of measurement for health claims on foods proposed under European Community Regulation 1924/2006 in the area …",2018
"F000S148","KB Nyuar, AKH Khalil, MA Crawford","Dietary intake of Sudanese women: a comparative assessment of nutrient intake of displaced and non-displaced women",2012
"F000S149","A Harding, U Gonder, SJ Robinson, ...","Exploring the association between Alzheimer's disease, oral health, microbial endocrinology and nutrition",2017
"F000S150","PC Calder, P Yaqoob","Nutrient regulation of the immune response",2012
"F000S151","G Pandey, AK Pandey","Nutrition research perspectives in immune-mediated inflammatory disorders",2013
"F000S153","Y Kobayashi, J Kovacs-Nolan, T Matsui, ...","The Anti-atherosclerotic Dipeptide, Trp-His, Reduces Intestinal Inflammation through the Blockade of L-Type Ca2+ Channels",2015
"F000S154","JS Boeing, D Ribeiro, RC Chisté, JV Visentainer, ...","Chemical characterization and protective effect of the bactris setosa Mart. fruit against oxidative/nitrosative stress",2017
"F000S155","M Guerendiain, J Mayneris-Perxachs, R Montes, ...","Relation between plasma antioxidant vitamin levels, adiposity and cardio-metabolic profile in adolescents: Effects of a multidisciplinary obesity programme",2017
"F000S156","B van Ommen, T van den Broek, I de Hoogh, ...","Systems biology of personalized nutrition",2017
"F000S157","S Schwab, A Zierer, A Schneider, M Heier, ...","Vitamin E supplementation is associated with lower levels of C-reactive protein only in higher dosages and combined with other antioxidants: The Cooperative Health …",2015
"F000S158","ICFR Ferreira, P Morales, L Barros","Wild plants, mushrooms and nuts: functional food properties and applications",2016
"F000S159","D Nikolic, J Stanimirovic, P Bjelogrlic, ...","Oxidative stress and the role of antioxidative treatment in diabetes mellitus",2014
"F000S160","YM Schlotter, FM Riemers, VPMG Rutten, ...","Enzymes involved in the conversion of arachidonic acid to eicosanoids in the skin of atopic dogs",2010
"F000S161","P Trayhurn, G Denyer","Mining microarray datasets in nutrition: expression of the GPR120 (n-3 fatty acid receptor/sensor) gene is down-regulated in human adipocytes by macrophage …",2012
"F000S163","T Marosvolgyi, G Horvath, A Dittrich, J Cseh, Z Lelovics, ...","Fatty Acid composition of plasma lipid classes in chronic alcoholic pancreatitis",2010
"F000S164","SNB Selby-Pham, RB Miller, K Howell, F Dunshea, ...","Physicochemical properties of dietary phytochemicals can predict their passive absorption in the human small intestine",2017
"F000S165","N Moslehi, B Ehsani, P Mirmiran, N Shivappa, M Tohidi, ...","Inflammatory properties of diet and glucose-insulin homeostasis in a cohort of Iranian adults",2016
"F000S166","R Dias, MR Perez-Gregorio, N Mateus, V De Freitas","Interaction study between wheat-derived peptides and procyanidin B3 by mass spectrometry",2016
"F000S167","SJ Wilkinson, JA Downing, PC Thomson, ...","Dietary fatty acids affect the growth and performance of gilt progeny",2011
"F000S168","I Peluso, G Morabito, S Riondino, F La Farina, ...","Lymphocytes as internal standard in oxidative burst analysis by cytometry: a new data analysis approach",2012
"F000S169","A Saxena, D Yadav, AK Maurya, A Kumar, ...","Diarylheptanoids from Alnus nepalensis attenuates LPS-induced inflammation in macrophages and endotoxic shock in mice",2016
"F000S170","KS Olsen, G Skeie, E Lund","Whole-blood gene expression profiles in large-scale epidemiological studies: what do they tell?",2015
"F000S171","MM Norde, E Oki, AAF Carioca, NRT Damasceno, ...","Influence of IL1B, IL6 and IL10 gene variants and plasma fatty acid interaction on metabolic syndrome risk in a cross-sectional population-based study",2018
"F000S172","KT Desta, GS Kim, GE Hong, YH Kim, ...","Dietary-flavonoid-rich flowers of Rumex nervosus Vahl: Liquid chromatography with electrospray ionization tandem mass spectrometry profiling and in vitro anti …",2015
"F000S173","E Flanagan, M Müller, M Hornberger, D Vauzour","Impact of flavonoids on cellular and molecular mechanisms underlying age-related cognitive decline and neurodegeneration",2018
"F000S174","J Willers, S Fasse, N Putschky, H Zeidler, ...","Combined add-on supplementation of omega-3 fatty acids, vitamin E, vitamin A, copper, and selenium in rheumatoid arthritis",2011
"F000S175","Á O'connor","An overview of the role of diet in the treatment of rheumatoid arthritis",2014
"F000S176","AN Badr, MG Shehata, AG Abdel-Razek","Antioxidant activities and potential impacts to reduce aflatoxins utilizing jojoba and jatropha oils and extracts",2017
"F000S177","X Zheng, L Feng, WD Jiang, P Wu, Y Liu, J Jiang, ...","Dietary pyridoxine deficiency reduced growth performance and impaired intestinal immune function associated with TOR and NF-<U+03BA>B signalling of young grass …",2017
"F000S178","M Saeland, M Wandel, T Böhmer, ...","Abscess infections and malnutrition–a cross-sectional study of polydrug addicts in Oslo, Norway",2014
"F000S179","E Mauriz, D Vallejo, MJ Tuñón, ...","Effects of dietary supplementation with lemon verbena extracts on serum inflammatory markers of multiple sclerosis patients",2015
"F000S180","Y Dhas, N Mishra, J Banerjee","Vitamin D deficiency and oxidative stress in type 2 diabetic population of India",2016
"F000S181","M Barroso, SA Beth, T Voortman, VWV Jaddoe, ...","Dietary patterns after the weaning and lactation period are associated with celiac disease autoimmunity in children",2018
"F000S182","C Julia, P Galan, M Touvier, N Meunier, ...","Antioxidant status and the risk of elevated C-reactive protein 12 years later",2014
"F000S183","K Bach Knudsen, H Lærke, M Hedemann, T Nielsen, ...","Impact of diet-modulated butyrate production on intestinal barrier function and inflammation",2018
"F000S184","S Adesso, G Pepe, E Sommella, ...","Anti-inflammatory and antioxidant activity of polyphenolic extracts from Lactuca sativa (var. Maravilla de Verano) under different farming methods",2016
"F000S185","T Mitani, Y Yoshioka, T Furuyashiki, ...","Enzymatically synthesized glycogen inhibits colitis through decreasing oxidative stress",2017
"F000S186","L Zhao, CH Liu, D Yu","High-throughput screening of chemical libraries for modulators of gene promoter activity of HLA-B2705: environmental pathogenesis and therapeutics of ankylosing …",2011
"F000S187","MJ Soares, PK Pannu, EK Calton, CM Reid, ...","Vitamin D status and calcium intake in systemic inflammation, insulin resistance and the metabolic syndrome: an update on current evidence",2017
"F000S188","K Gunathilake, K Ranaweera, H Rupasinghe","Influence of boiling, steaming and frying of selected leafy vegetables on the in vitro anti-inflammation associated biological activities",2018
"F000S189","G Egger","Defining a structure and methodology for the practice of lifestyle medicine",2018
"F000S190","C Harris, H Demmelmair, A von Berg, ...","Associations between fatty acids and low-grade inflammation in children from the LISAplus birth cohort study",2017
"F000S191","TN Dunn, AH Keenan, ...","A diet containing a nonfat dry milk matrix significantly alters systemic oxylipins and the endocannabinoid 2-arachidonoylglycerol (2-AG) in diet-induced obese …",2014
"F000S192","K Miura, MCB Hughes, JPJ Ungerer, AC Green","Plasma eicosapentaenoic acid is negatively associated with all-cause mortality among men and women in a population-based prospective study",2016
"F000S193","SJ Baum, A Hamm","Fatty acids and their derivatives in cardiovascular disease: arachidonic, eicosapentaenoic, and docosahexaenoic acids and their byproducts, the eicosanoids …",2012
"F000S194","PC Calder","Inflammation: an introduction",2013
"F000S195","NB Bottari, MD Baldissera, AA Tonin, RT França, ...","Effects of iron supplementation on blood adenine deaminase activity and oxidative stress in Trypanosoma evansi infection of rats",2014
"F000S196","A Badawi, B Garcia-Bailo, P Arora, ...","The utility of vitamins in the prevention of type 2 diabetes mellitus and its complications: A public health perspective",2013
"F000S197","G Lutoslawska","Interleukin-6 as an adipokine and myokine: the regulatory role of cytokine in adipose tissue and skeletal muscle metabolism",2012
"F000S198","PC Calder","Biomarkers of immunity and inflammation for use in nutrition interventions: International Life Sciences Institute European Branch work on selection criteria and …",2014
"F000S199","S Selby-Pham, J Cottrell, F Dunshea, K Ng, L Bennett, ...","Dietary phytochemicals promote health by enhancing antioxidant defence in a pig model",2017
"F000S200","I Keskiner, I Saygun, V Bal, M Serdar, ...","Dietary supplementation with low-dose omega-3 fatty acids reduces salivary tumor necrosis factor-a levels in patients with chronic periodontitis: a randomized …",2017
