ID,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
F009,74,"AM Giudetti, R Cagnazzo",Beneficial effects of n-3 PUFA on chronic airway inflammatory diseases,2012.0,Prostaglandins & other lipid mediators,Elsevier,https://www.sciencedirect.com/science/article/pii/S1098882312001232,"https://scholar.google.com/scholar?cites=14882213160021514881&as_sdt=400005&sciodt=0,14&hl=en",10,2019-04-25,HTML,,,,,,,,74,10.57,37,2,7.0
F010,75,"B Tartibian, BH Maleki, A Abbasi",Omega-3 fatty acids supplementation attenuates inflammatory markers after eccentric exercise in untrained men,2011.0,Clinical Journal of Sport …,journals.lww.com,https://journals.lww.com/cjsportsmed/FullText/2011/03000/Omega_3_Fatty_Acids_Supplementation_Attenuates.10.aspx,"https://scholar.google.com/scholar?cites=4491203406152434725&as_sdt=400005&sciodt=0,14&hl=en",11,2019-04-25,HTML,,,,,,,,75,9.38,25,3,8.0
F011,56,WM Brown,Treating COPD with PDE 4 inhibitors,2007.0,International journal of chronic obstructive pulmonary …,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2699952/,"https://scholar.google.com/scholar?cites=4389796449796406170&as_sdt=400005&sciodt=0,14&hl=en",12,2019-04-25,HTML,,,,,,,,56,4.67,56,1,12.0
F012,53,"R Schubert, R Kitz, C Beermann, MA Rose, PC Baer, ...",Influence of low-dose polyunsaturated fatty acids supplementation on the inflammatory response of healthy adults,2007.0,Nutrition,Elsevier,https://www.sciencedirect.com/science/article/pii/S0899900707002171,"https://scholar.google.com/scholar?cites=13531411630260736012&as_sdt=400005&sciodt=0,14&hl=en",13,2019-04-25,HTML,,,,,,,,53,4.42,9,6,12.0
F013,50,"LG Wood, HA Scott, ML Garg, PG Gibson",Innate immune mechanisms linking non-esterified fatty acids and respiratory disease,2009.0,Progress in lipid research,Elsevier,https://www.sciencedirect.com/science/article/pii/S0163782708000581,"https://scholar.google.com/scholar?cites=5172343986781542284&as_sdt=400005&sciodt=0,14&hl=en",14,2019-04-25,HTML,,,,,,,,50,5.0,13,4,10.0
F014,42,"D Li, XJ Hu",Fish and its multiple human health effects in times of threat to sustainability and affordability: are there alternatives?,2009.0,Asia Pacific journal of clinical nutrition,airitilibrary.com,http://www.airitilibrary.com/Publication/alDetailedMesh?docid=09647058-200912-201306130013-201306130013-553-563,"https://scholar.google.com/scholar?cites=13201604413976639104&as_sdt=400005&sciodt=0,14&hl=en",15,2019-04-25,,,,,,,,,42,4.2,21,2,10.0
F015,42,"B Brown, K Roehl, M Betz",Enteral nutrition formula selection: current evidence and implications for practice,2015.0,Nutrition in Clinical Practice,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0884533614561791,"https://scholar.google.com/scholar?cites=10911719420264013129&as_sdt=400005&sciodt=0,14&hl=en",16,2019-04-25,,,,,,,,,42,10.5,14,3,4.0
F016,42,"R Garrod, P Ansley, J Canavan, A Jewell",Exercise and the inflammatory response in chronic obstructive pulmonary disease (COPD)—Does training confer anti-inflammatory properties in COPD?,2007.0,Medical hypotheses,Elsevier,https://www.sciencedirect.com/science/article/pii/S0306987706005615,"https://scholar.google.com/scholar?cites=17735058213933024263&as_sdt=400005&sciodt=0,14&hl=en",17,2019-04-25,HTML,,,,,,,,42,3.5,11,4,12.0
F017,35,"A Gupta, D Govil, S Bhatnagar, S Gupta, ...",Efficacy and safety of parenteral omega 3 fatty acids in ventilated patients with acute lung injury,2011.0,Indian journal of …,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3145294/,"https://scholar.google.com/scholar?cites=9346582723429757290&as_sdt=400005&sciodt=0,14&hl=en",18,2019-04-25,HTML,,,,,,,,35,4.38,7,5,8.0
F018,32,"F Guebre-Egziabher, C Debard, J Drai, L Denis, ...",Differential dose effect of fish oil on inflammation and adipose tissue gene expression in chronic kidney disease patients,2013.0,Nutrition,Elsevier,https://www.sciencedirect.com/science/article/pii/S0899900712004170,"https://scholar.google.com/scholar?cites=11995063601857489633&as_sdt=400005&sciodt=0,14&hl=en",19,2019-04-25,HTML,,,,,,,,32,5.33,6,5,6.0
F019,31,"M Yamakage, S Iwasaki, A Namiki",Guideline-oriented perioperative management of patients with bronchial asthma and chronic obstructive pulmonary disease,2008.0,Journal of anesthesia,Springer,https://link.springer.com/article/10.1007/s00540-008-0650-2,"https://scholar.google.com/scholar?cites=9277813680374054178&as_sdt=400005&sciodt=0,14&hl=en",20,2019-04-25,HTML,,,,,,,,31,2.82,10,3,11.0
F020,28,"JC Samp, GT Schumock, ...",Retracted publications in the drug literature,2012.0,… : The Journal of Human …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/pdf/10.1002/j.1875-9114.2012.01100.x,"https://scholar.google.com/scholar?cites=2090642466485683589&as_sdt=400005&sciodt=0,14&hl=en",21,2019-04-25,PDF,,,,,,,,28,4.0,9,3,7.0
F021,26,"A Mohebi-Nejad, B Bikdeli",Omega-3 supplements and cardiovascular diseases,2014.0,Tanaffos,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4153275/,"https://scholar.google.com/scholar?cites=7864681822227684125&as_sdt=400005&sciodt=0,14&hl=en",22,2019-04-25,HTML,,,,,,,,26,5.2,13,2,5.0
F022,24,"AMWJ Schols, HR Gosker",The pathophysiology of cachexia in chronic obstructive pulmonary disease,2009.0,Current opinion in supportive and …,journals.lww.com,https://journals.lww.com/co-supportiveandpalliativecare/fulltext/2009/12000/the_pathophysiology_of_cachexia_in_chronic.9.aspx,"https://scholar.google.com/scholar?cites=11986834153217710221&as_sdt=400005&sciodt=0,14&hl=en",23,2019-04-25,HTML,,,,,,,,24,2.4,12,2,10.0
F023,24,"J Ashitani, N Matsumoto, ...",Effect of octanoic acid-rich formula on plasma ghrelin levels in cachectic patients with chronic respiratory disease,2009.0,Nutrition journal,nutritionj.biomedcentral.com,https://nutritionj.biomedcentral.com/articles/10.1186/1475-2891-8-25,"https://scholar.google.com/scholar?cites=13710609031445118983&as_sdt=400005&sciodt=0,14&hl=en",24,2019-04-25,HTML,,,,,,,,24,2.4,8,3,10.0
F024,23,"AA Daak, AY Elderdery, LM Elbashir, ...",Omega 3 (n− 3) fatty acids down-regulate nuclear factor-kappa B (NF-κB) gene and blood cell adhesion molecule expression in patients with homozygous …,2015.0,"Blood Cells, Molecules …",Elsevier,https://www.sciencedirect.com/science/article/pii/S1079979615000741,"https://scholar.google.com/scholar?cites=8202556427248780810&as_sdt=400005&sciodt=0,14&hl=en",25,2019-04-25,HTML,,,,,,,,23,5.75,6,4,4.0
F025,21,"B Sun, C Luo, W Cui, J Sun, Z He",Chemotherapy agent-unsaturated fatty acid prodrugs and prodrug-nanoplatforms for cancer chemotherapy,2017.0,Journal of Controlled Release,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168365917308167,"https://scholar.google.com/scholar?cites=15027400195741771592&as_sdt=400005&sciodt=0,14&hl=en",26,2019-04-25,HTML,,,,,,,,21,10.5,4,5,2.0
F026,20,"R Herzog, S Cunningham-Rundles",Immunologic impact of nutrient depletion in chronic obstructive pulmonary disease,2011.0,Current drug targets,ingentaconnect.com,https://www.ingentaconnect.com/content/ben/cdt/2011/00000012/00000004/art00006,"https://scholar.google.com/scholar?cites=7534131431903852643&as_sdt=400005&sciodt=0,14&hl=en",27,2019-04-25,,,,,,,,,20,2.5,10,2,8.0
F027,19,C Herbaut,Omega-3 and health,2006.0,Revue medicale de Bruxelles,europepmc.org,https://europepmc.org/abstract/med/17091903,"https://scholar.google.com/scholar?cites=4739226489726716336&as_sdt=400005&sciodt=0,14&hl=en",28,2019-04-25,,,,,,,,,19,1.46,19,1,13.0
F028,18,"F Hirayama, AH Lee, CW Binns",Dietary factors for chronic obstructive pulmonary disease: epidemiological evidence,2008.0,Expert review of respiratory …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1586/17476348.2.5.645,"https://scholar.google.com/scholar?cites=4480548530896297147&as_sdt=400005&sciodt=0,14&hl=en",29,2019-04-25,,,,,,,,,18,1.64,6,3,11.0
F029,16,"CI Cruickshank-Quinn, S Mahaffey, MJ Justice, ...",Transient and persistent metabolomic changes in plasma following chronic cigarette smoke exposure in a mouse model,2014.0,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0101855,"https://scholar.google.com/scholar?cites=1734292396948904633&as_sdt=400005&sciodt=0,14&hl=en",30,2019-04-25,HTML,,,,,,,,16,3.2,4,4,5.0
F030,17,"D Houghton, GL Onambele",Can a standard dose of eicosapentaenoic acid (EPA) supplementation reduce the symptoms of delayed onset of muscle soreness?,2012.0,Journal of the International …,jissn.biomedcentral.com,https://jissn.biomedcentral.com/articles/10.1186/1550-2783-9-2,"https://scholar.google.com/scholar?cites=1710250454898150375&as_sdt=400005&sciodt=0,14&hl=en",31,2019-04-25,HTML,,,,,,,,17,2.43,9,2,7.0
F031,16,"AS Fulton, AM Hill, MT Williams, PRC Howe, ...",Feasibility of omega-3 fatty acid supplementation as an adjunct therapy for people with chronic obstructive pulmonary disease: study protocol for a …,2013.0,…,trialsjournal.biomedcentral.com,https://trialsjournal.biomedcentral.com/articles/10.1186/1745-6215-14-107,"https://scholar.google.com/scholar?cites=14315153612795941349&as_sdt=400005&sciodt=0,14&hl=en",32,2019-04-25,HTML,,,,,,,,16,2.67,3,5,6.0
F032,14,"R Takamiya, K Fukunaga, M Arita, J Miyata, ...",Resolvin E1 maintains macrophage function under cigarette smoke‐induced oxidative stress,2012.0,FEBS open …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/pdf/10.1016/j.fob.2012.10.001,"https://scholar.google.com/scholar?cites=15099953305568270903&as_sdt=400005&sciodt=0,14&hl=en",33,2019-04-25,PDF,,,,,,,,14,2.0,3,5,7.0
F033,14,"A Ahmadi, N Haghighat, M Hakimrabet, ...",Nutritional evaluation in chronic obstructive pulmonary disease patients,2012.0,Pakistan Journal of …,scialert.net,https://scialert.net/fulltextmobile/?doi=pjbs.2012.501.505,"https://scholar.google.com/scholar?cites=1270079616129079508&as_sdt=400005&sciodt=0,14&hl=en",34,2019-04-25,HTML,,,,,,,,14,2.0,4,4,7.0
F034,13,"A Higham, S Lea, J Plumb, ...",The role of the liver X receptor in chronic obstructive pulmonary disease,2013.0,Respiratory …,respiratory-research.biomedcentral …,https://respiratory-research.biomedcentral.com/articles/10.1186/1465-9921-14-106,"https://scholar.google.com/scholar?cites=6286650793493869806&as_sdt=400005&sciodt=0,14&hl=en",35,2019-04-25,HTML,,,,,,,,13,2.17,3,4,6.0
F035,12,AR Berman,Management of patients with end-stage chronic obstructive pulmonary disease,2011.0,Primary Care: Clinics in Office Practice,primarycare.theclinics.com,https://www.primarycare.theclinics.com/article/S0095-4543(11)00021-2/abstract,"https://scholar.google.com/scholar?cites=296028392235175593&as_sdt=400005&sciodt=0,14&hl=en",36,2019-04-25,,,,,,,,,12,1.5,12,1,8.0
F036,11,"AS Fulton, AM Hill, MT Williams, PRC Howe, ...",Paucity of evidence for a relationship between long-chain omega-3 fatty acid intake and chronic obstructive pulmonary disease: a systematic review,2015.0,Nutrition …,academic.oup.com,https://academic.oup.com/nutritionreviews/article-abstract/73/9/612/1832683,"https://scholar.google.com/scholar?cites=1100312922144751577&as_sdt=400005&sciodt=0,14&hl=en",37,2019-04-25,,,,,,,,,11,2.75,2,5,4.0
F037,10,"W Matsuyama, H Mitsuyama, Y Koreeda, ...",Use of tiotropium bromide for pre-operative treatment in chronic obstructive pulmonary disease patients: comparison with oxitropium bromide,2007.0,Internal …,jstage.jst.go.jp,https://www.jstage.jst.go.jp/article/internalmedicine/46/17/46_17_1373/_article/-char/ja/,"https://scholar.google.com/scholar?cites=14673982544573245207&as_sdt=400005&sciodt=0,14&hl=en",38,2019-04-25,,,,,,,,,10,0.83,3,4,12.0
F038,9,"A Laudisio, L Costanzo, C Di Gioia, AS Delussu, ...",Dietary intake of elderly outpatients with chronic obstructive pulmonary disease,2016.0,Archives of gerontology …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167494316300061,"https://scholar.google.com/scholar?cites=4204350556380953415&as_sdt=400005&sciodt=0,14&hl=en",39,2019-04-25,HTML,,,,,,,,9,3.0,2,5,3.0
F039,8,"L Mascitelli, F Pezzetta",Renin-Angiotensin System Blockade and,2005.0,Am J Respir Crit Care Med,researchgate.net,https://www.researchgate.net/profile/Luca_Mascitelli/publication/7006035_Renin-Angiotensin_System_Blockade_and_COPD/links/02e7e519dd0fc9551c000000.pdf,"https://scholar.google.com/scholar?cites=4244517513974899729&as_sdt=400005&sciodt=0,14&hl=en",40,2019-04-25,PDF,,,,,,,,8,0.57,4,2,14.0
F040,22,"魏玉哲, 宋洪江, 王佳, 王铁, 蓝秀文, 薛英威",ω-3 多不饱和脂肪酸在老年胃癌病人术后肠外营养中的应用,2009.0,,cnki.com.cn,http://www.cnki.com.cn/Article/CJFDTotal-CWCN200906004.htm,"https://scholar.google.com/scholar?cites=13676033922854183868&as_sdt=400005&sciodt=0,14&hl=en",41,2019-04-25,,,,,,,,,22,2.2,4,6,10.0
F041,7,"A Fulton, A Coates, M Williams, P Howe, A Hill",Persistent citation of the only published randomised controlled trial of omega-3 supplementation in chronic obstructive pulmonary disease six years after its …,2015.0,Publications,mdpi.com,https://www.mdpi.com/2304-6775/3/1/17/htm,"https://scholar.google.com/scholar?cites=11557493871670750023&as_sdt=400005&sciodt=0,14&hl=en",42,2019-04-25,HTML,,,,,,,,7,1.75,1,5,4.0
F042,6,"MA Hashemipour, AR Ghasemi, MA Dogaheh, ...",effects of locally and systemically applied n-3 fatty acid on oral ulcer recovery process in rats,2012.0,…,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/069c/b49bb785dd519cea5ea0815fd6a2ec510f7a.pdf,"https://scholar.google.com/scholar?cites=771902909105455842&as_sdt=400005&sciodt=0,14&hl=en",43,2019-04-25,PDF,,,,,,,,6,0.86,2,4,7.0
F043,6,"L Yang, J Li, Y Li, Y Tian, S Li, S Jiang, ...",Identification of metabolites and metabolic pathways related to treatment with Bufei Yishen formula in a rat COPD model using HPLC Q-TOF/MS,2015.0,Evidence-Based …,hindawi.com,https://www.hindawi.com/journals/ecam/aa/956750/sup/,"https://scholar.google.com/scholar?cites=13754233984608427797&as_sdt=400005&sciodt=0,14&hl=en",44,2019-04-25,HTML,,,,,,,,6,1.5,1,7,4.0
F044,6,"F Hirayama, AH Lee, CW Binns, H Taniguchi",Dietary supplementation by Japanese patients with chronic obstructive pulmonary disease,2009.0,Complementary therapies in …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0965229908000125,"https://scholar.google.com/scholar?cites=13413115558370904074&as_sdt=400005&sciodt=0,14&hl=en",45,2019-04-25,HTML,,,,,,,,6,0.6,2,4,10.0
F045,6,"F Moeinzadeh, S Shahidi, ...","Effects of omega-3 fatty acid supplementation on serum biomarkers, inflammatory agents, and quality of life of patients on hemodialysis",2016.0,Iranian journal of …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/72ad/97e3861eb3e34cefb7c5629b272b29964f3a.pdf,"https://scholar.google.com/scholar?cites=159778929445166456&as_sdt=400005&sciodt=0,14&hl=en",46,2019-04-25,PDF,,,,,,,,6,2.0,2,3,3.0
F046,10,"吉川雅則, 木村弘",Bedside Teaching 呼吸器疾患における栄養管理の実際,2007.0,呼吸と循環,ci.nii.ac.jp,https://ci.nii.ac.jp/naid/40015607111/,"https://scholar.google.com/scholar?cites=936913904224906747&as_sdt=400005&sciodt=0,14&hl=en",47,2019-04-25,CITATION,,,,,,,,10,0.83,5,2,12.0
F047,4,DAM Donesky,Integrative therapies for people with chronic obstructive pulmonary disease,2012.0,Integrative Therapies in Lung Health and Sleep,Springer,https://link.springer.com/chapter/10.1007/978-1-61779-579-4_4,"https://scholar.google.com/scholar?cites=15648487539678323688&as_sdt=400005&sciodt=0,14&hl=en",48,2019-04-25,,,,,,,,,4,0.57,4,1,7.0
F048,3,KR Fluegge,Comorbidities among persons with incident psychiatric condition,2016.0,Gerontology and geriatric medicine,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/2333721416635001,"https://scholar.google.com/scholar?cites=16211082221893483607&as_sdt=400005&sciodt=0,14&hl=en",49,2019-04-25,,,,,,,,,3,1.0,3,1,3.0
F049,3,"S Masuda, R Oka, K Uwai, Y Matsuda, T Shiraishi, ...",Development of clinical application for a nutritional prescription support system for total parenteral/enteral nutrition,2009.0,Yakugaku …,jstage.jst.go.jp,https://www.jstage.jst.go.jp/article/yakushi/129/9/129_9_1077/_article/-char/ja/,"https://scholar.google.com/scholar?cites=8531582797864937644&as_sdt=400005&sciodt=0,14&hl=en",50,2019-04-25,,,,,,,,,3,0.3,1,6,10.0
F050,3,"G Jackowski, R Macsweeney, N Shaikh, ...",Method for treating obesity with anti-obesity formulations and omega 3 fatty acids for the reduction of body weight in cardiovascular disease patients (CVD) and …,2014.0,US Patent …,Google Patents,https://patents.google.com/patent/US8715648B2/en,"https://scholar.google.com/scholar?cites=16199732480767983939&as_sdt=400005&sciodt=0,14&hl=en",51,2019-04-25,,,,,,,,,3,0.6,1,4,5.0
F051,3,"HT Khosroshahi, SEM Toomatari, ...",Effectiveness of omega-3 supplement on lipid profile and lipid peroxidation in kidney allograft recipients,2013.0,Nephro-urology …,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3830909/,"https://scholar.google.com/scholar?cites=17188266050013218951&as_sdt=400005&sciodt=0,14&hl=en",52,2019-04-25,HTML,,,,,,,,3,0.5,1,3,6.0
F052,5,H Grosgogeat,Ma promesse anti-âge,2009.0,,books.google.com,https://books.google.com/books?hl=en&lr=&id=KjmBHhzcDHoC&oi=fnd&pg=PA11&ots=zAIrTRcxiq&sig=TkejRlipVDeqe9Xi7_sUl0vbe8s,"https://scholar.google.com/scholar?cites=7795391133224049328&as_sdt=400005&sciodt=0,14&hl=en",53,2019-04-25,BOOK,,,,,,,,5,0.5,5,1,10.0
F053,5,NA Khan,Inflammation et immunité: implications dans l'obésité et le diabète de type 2,2006.0,"Oléagineux, Corps gras, Lipides",ocl-journal.org,https://www.ocl-journal.org/articles/ocl/abs/2006/05/ocl2006135p343/ocl2006135p343.html,"https://scholar.google.com/scholar?cites=4310913247783307416&as_sdt=400005&sciodt=0,14&hl=en",54,2019-04-25,,,,,,,,,5,0.38,5,1,13.0
F054,2,"G Jackowski, R Macsweeney, N Shaikh, ...","Cholesterol absorption inhibitor and omega 3 fatty acids for the reduction of cholesterol and for the prevention or reduction of cardiovascular, cardiac and vascular …",2015.0,US Patent …,Google Patents,https://patents.google.com/patent/US8952000B2/en,"https://scholar.google.com/scholar?cites=4556428735114030554&as_sdt=400005&sciodt=0,14&hl=en",55,2019-04-25,,,,,,,,,2,0.5,1,4,4.0
F055,2,"A de Boer, WRPH van de Worp, ...",The effect of dietary components on inflammatory lung diseases–a literature review,2017.0,International journal of …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/09637486.2017.1288199,"https://scholar.google.com/scholar?cites=11549220060156181779&as_sdt=400005&sciodt=0,14&hl=en",56,2019-04-25,,,,,,,,,2,1.0,1,3,2.0
F056,2,"N Jenabian, AA Moghadamnia, ...",Effect of Omega-3 fatty acid in treatment of patients with moderate gingival inflammation,2013.0,… & Implant Dentistry,dentistry.tbzmed.ac.ir,http://dentistry.tbzmed.ac.ir/jpid/index.php/jpid/article/view/113,"https://scholar.google.com/scholar?cites=6874317913225183441&as_sdt=400005&sciodt=0,14&hl=en",57,2019-04-25,,,,,,,,,2,0.33,1,3,6.0
F057,2,"YC Lin, YJ Lin, TC Wu, CC Cheng, ...",Supplementation of fish oil improves functional capacity and quality of life in patients with chronic obstructive pulmonary disease,2016.0,Current Topics in …,go.galegroup.com,https://go.galegroup.com/ps/i.do?id=GALE%7CA479943049&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=15407535&p=HRCA&sw=w,"https://scholar.google.com/scholar?cites=15812955777561557431&as_sdt=400005&sciodt=0,14&hl=en",58,2019-04-25,,,,,,,,,2,0.67,0,5,3.0
F058,2,"MA Caron, ME Thériault, R Debigaré, ...",Skeletal muscle dysfunction,2012.0,Chronic Obstructive …,Springer,https://link.springer.com/chapter/10.1007/978-1-60761-673-3_9,"https://scholar.google.com/scholar?cites=3678881170793455775&as_sdt=400005&sciodt=0,14&hl=en",59,2019-04-25,,,,,,,,,2,0.29,1,4,7.0
F059,3,"菅原慶勇, 高橋仁美, 柏倉剛, 本間光信, ...",慢性閉塞性肺疾患でみられる経過中の体重減少に関する因子の検討とその対策についての研究,2012.0,日本呼吸ケア …,jstage.jst.go.jp,https://www.jstage.jst.go.jp/article/jsrcr/22/3/22_264/_article/-char/ja/,"https://scholar.google.com/scholar?cites=18346828331374391802&as_sdt=400005&sciodt=0,14&hl=en",60,2019-04-25,,,,,,,,,3,0.43,1,5,7.0
F060,3,"高佳琦, 吴国豪, 袁磊, 张波",ω-3 多不饱和脂肪酸对改善荷瘤大鼠营养状况的作用,2008.0,外科理论与实践,cnki.com.cn,http://www.cnki.com.cn/Article/CJFDTotal-WKLL200805014.htm,"https://scholar.google.com/scholar?cites=7118734632876019912&as_sdt=400005&sciodt=0,14&hl=en",61,2019-04-25,,,,,,,,,3,0.27,1,4,11.0
F061,2,B Panaszek,Astma oskrzelowa i POChP–odrębności diagnostyki i leczenia w wieku starszym,2010.0,Przew Lek,,,"https://scholar.google.com/scholar?cites=5241596529429494642&as_sdt=400005&sciodt=0,14&hl=en",62,2019-04-25,CITATION,,,,,,,,2,0.22,2,1,9.0
F062,1,"DSA McKenzie, K Gray-Donald",Nutrition and chronic obstructive pulmonary disease,2009.0,Handbook of Clinical Nutrition and Aging,Springer,https://link.springer.com/chapter/10.1007/978-1-60327-385-5_20,"https://scholar.google.com/scholar?cites=2584758030870696025&as_sdt=400005&sciodt=0,14&hl=en",63,2019-04-25,,,,,,,,,1,0.1,1,2,10.0
F063,1,L Bronwell,Groundbreaking Study Reveals New Mechanism Behind Fish Oil's Health Benefits,,Life Extension,atlaschiropractichealthcenter.com,http://atlaschiropractichealthcenter.com/blog/wp-content/uploads/2015/06/Fish-Oils-Health-Benefits.pdf,"https://scholar.google.com/scholar?cites=3111205968341239897&as_sdt=400005&sciodt=0,14&hl=en",64,2019-04-25,PDF,,,,,,,,1,0.0,1,1,
F064,1,B Panaszek,Bronchial asthma and COPD–separate approach to diagnosis and treatment in elderly,2010.0,Przewodnik Lekarza/Guide for GPs,termedia.pl,"https://www.termedia.pl/Bronchial-asthma-and-COPD-8211-separate-approach-to-diagnosis-and-treatment-in-elderly,8,14227,0,1.html","https://scholar.google.com/scholar?cites=7410450533696476207&as_sdt=400005&sciodt=0,14&hl=en",65,2019-04-25,CITATION,,,,,,,,1,0.11,1,1,9.0
F065,1,N Perricone,"Dr. Perricone's 7 Secrets to Beauty, Health, and Longevity: The Miracle of Cellular Rejuvenation",2007.0,,books.google.com,https://books.google.com/books?hl=en&lr=&id=s8CGDwAAQBAJ&oi=fnd&pg=PR10&ots=b_QB6vmF4C&sig=UmQ4G6qDW8Eki87ReU5P6efKg0A,"https://scholar.google.com/scholar?cites=3477175942955715878&as_sdt=400005&sciodt=0,14&hl=en",66,2019-04-25,BOOK,,,,,,,,1,0.08,1,1,12.0
